"leased","District","POName","UnitName","PropertyID","PropertyAddress","City","ST","ZIPCode","Occupied","Maint","EffDate","ExpDate","BldgOwn","LandOwn","TaxClause","PurchaseOption","LONbr","LOYears","LessorName","LessorAddress1","LessorAddress2","LessorAddress3","LessorCity","LessorSt","LessorZIP","IntSqFt","SiteSqFt","AnnualRent","AnnualRent.SqFt","NextRent","NextRent.SqFt","Fin.Sub","ChrgblFinNo","County","PropertyStatus","Ownership","FDBID.All.","AMSLocaleKey.All.","FDBFacilityType.All.","FDBFacilitySubtype.All.","BuildingOwnershipDescription","LandDesc","Maintenance","SpaceCertifiedIndicator","BldgOccuDate","BldgtoLandSqFtRatio"
1,"Western Pennsylvania","FALLENTIMBER","MAIN OFFICE","412660002","1664 GLENDALE VALLEY BLVD","FALLENTIMBER","PA","16639-9998","Oct-81","Landlord","10/1/2011","9/30/2016","P","P","None Specified",NA,1,5,"THOMAS S HOLLIS","874 EXECUTIVE DR",NA,NA,"FALLENTIMBER","PA","166397001",972,4772,7533,7.75,8286,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Western Pennsylvania","HILLSVILLE","MAIN OFFICE","413696001","2562 CHURCHHILL RD","HILLSVILLE","PA","16132-9800","Dec-61","Landlord","12/1/2014","11/30/2019","P","P","None Specified",NA,1,5,"NICK PAGNOTTA","PO BOX 151",NA,NA,"HILLSVILLE","PA","161320151",720,2072,10284.48,14.28,12341.38,17.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Philadelphia Metropolitan","SOUTHEASTERN","P & DC",NA,"1000 W VALLEY RD","SOUTHEASTERN","PA","19399-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318155,1142428,NA,NA,NA,NA,"411627-G01",411627,"CHESTER","Active","Owned",1476196,"17837","Mail Processing","Processing and Distribution Center (PDC)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","9/1/1980"," 2/7"
1,"Louisiana","EROS","MAIN OFFICE","212795002","9972 HIGHWAY 34","EROS","LA","71238-9998","Jun-67","Landlord","6/1/2012","5/31/2017","A","A","None Specified",NA,1,5,"JOHN MICHAEL SHARP","2267 CENTURY LOOP",NA,NA,"EROS","LA","712388122",1000,8400,5328,5.33,5755,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Mid-America","WEIR","MAIN OFFICE","199515001","201 E MAIN ST","WEIR","KS","66781-9998","Jan-61","Landlord","1/16/2016","1/15/2021","A","A","None Specified",NA,NA,NA,"LEWIS EVERETT SHRUM REVOCABLE TRUST","AND LOIS J SHRUM","116 S GRANT ST",NA,"ERIE","KS","667331325",1331,3647,8820,6.63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Baltimore","BISHOPVILLE","MAIN OFFICE","230792002","10656 BISHOPVILLE RD","BISHOPVILLE","MD","21813-9998","Apr-93","Landlord","4/20/2013","4/19/2018","P","P","None Specified","Y",1,5,"FDI POSTAL PROPERTIES I INC","PO BOX 659",NA,NA,"MOUNT AIRY","MD","217710659",1362,13310,20102,14.76,23721,17.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Richmond","LOCUSTVILLE","MAIN OFFICE","515256001","28033 DRUMMONDTOWN RD","LOCUSTVILLE","VA","23404-9998","Nov-80","Landlord","11/1/2014","10/31/2019","P","P","None Specified",NA,NA,NA,"DIANNE J NICKEL","PO BOX 55",NA,NA,"LOCUSTVILLE","VA","234040055",400,1200,9000,22.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Rio Grande","WALBURG","MPO SITE/MODULAR BLDG","489420002","3745 FM 972","WALBURG","TX","78673-9800",NA,"Landlord","6/1/2006","5/31/2016","Q","Z","None Specified",NA,NA,NA,"WALBURG INVESTMENT","GROUP LLC","PO BOX 508",NA,"WALBURG","TX","786730508",0,8400,4800,0.57,5400,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hawkeye","BIRMINGHAM","MAIN OFFICE","180873001","221 E CEDAR ST","BIRMINGHAM","IA","52535-7706","Jul-32","Landlord","4/1/2009",NA,"E","E","None Specified",NA,NA,NA,"JO ANN WORKMAN","32 HIDDEN CREEK LN",NA,NA,"MONTGOMERY","TX","773568262",800,3360,5220,6.53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Greensboro","WISE","MAIN OFFICE","368736001","1728 US 1 HWY N","WISE","NC","27594-9998","Aug-59","Landlord","10/1/1980",NA,"D","D","None Specified","N",NA,NA,"HAWTREE VOLUNTEER FIRE DEPARTMENT","PO BOX 116",NA,NA,"WISE","NC","275940116",432,3164,900,2.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Westchester","BEACON","MAIN OFFICE",NA,"369 MAIN ST","BEACON","NY","12508-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11378,23625,NA,NA,NA,NA,"350545-G01",350545,"DUTCHESS","Active","Owned",1354301,"V12095","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","4/1/1937"," 1/2"
1,"Northern New England","LEE","MAIN OFFICE","224350002","2790 LEE RD","LEE","ME","04455-9998","Feb-95","Landlord","2/7/2015","2/6/2020","P","P","None Specified","N",2,10,"TOWN OF LEE","29 WINN RD",NA,NA,"LEE","ME","44554200",1507,6161,17300,11.48,18500,12.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Dakotas","PONY","MAIN OFFICE-MODULAR",NA,"3 REEL ST","PONY","MT","59747-9700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,0,NA,NA,NA,NA,"296642-G01",296642,"MADISON","Active","Owned",1378020,"Z13346","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No","4/1/2001","0"
1,"Alabama","MONTGOMERY","SOUTH STATION","15630023","2837 E SOUTH BLVD","MONTGOMERY","AL","36116-9998","May-82","USPS (Not Roof)","2/1/2014","1/31/2019","A","A","Percentage",NA,NA,NA,"GOVERNORS SQ STA LLC","11501 NORTHLAKE DR",NA,NA,"CINCINNATI","OH","452491669",11556,25981,103632,8.97,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Northern New England","BARRE","MAIN OFFICE",NA,"3 S MAIN ST","BARRE","VT","05641-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13967,30052,NA,NA,NA,NA,"500280-G01",500280,"WASHINGTON","Active","Owned",1354086,"V26022","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1912"," 4/9"
1,"Houston","NOME","MAIN OFFICE","486435002","2285 HIGHWAY 90","NOME","TX","77629-0010","Jun-67","USPS (Not Roof)","6/1/2012","5/31/2017","A","A","Reimbursable",NA,NA,NA,"JEFF BORGES","625 WILD OATS WAY",NA,NA,"TEMPLETON","CA","934659375",800,3975,4900,6.13,5400,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Seattle","MALO","MAIN OFFICE","544956002","17500 N HIGHWAY 21","MALO","WA","99150-9998","Dec-92","USPS (Not Roof)","12/12/2012","12/11/2017","A","A","Reimbursable",NA,1,5,"WINDREST LTD","DBA PNB PROPERTIES","PO BOX 7",NA,"MALO","WA","991500007",740,43560,15300,20.68,17000,22.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Western Pennsylvania","NEW CUMBERLAND","ADJACENT PARKING","555814003","MORRIS ST & RIDGE AVE","NEW CUMBERLAND","WV","26047-9998",NA,"Unknown","2/15/2005",NA,"X","Z","None Specified",NA,NA,NA,"WEIRTON SHOPPING PLAZA INC","412 PENCO RD",NA,NA,"WEIRTON","WV","260623822",0,6900,3270,0.47,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Portland","VENETA","MAIN OFFICE","408784002","25042 DUNHAM AVE","VENETA","OR","97487-9791","Mar-81","Landlord","3/1/2016","2/28/2021","A","A","Reimbursable",NA,1,5,"CALEF BROS LLC","ATTN LAVENA DEYOUNG","611 MONTARA WAY",NA,"EUGENE","OR","974052056",4144,24128,61953,14.95,64315,15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Louisiana","SULPHUR","MAIN OFFICE",NA,"800 S POST OAK RD","SULPHUR","LA","70663-5244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17022,169013,NA,NA,NA,NA,"218346-G02",218346,"CALCASIEU","Active","Owned",1383871,"Y24529","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","7/1/1986"," 1/9"
1,"Hawkeye","WILLIAMSON","MAIN OFFICE","189738001","103 W SOUTH AVE","WILLIAMSON","IA","50272-5000","Mar-55","Landlord","9/1/2012","8/31/2017","B","B","None Specified",NA,NA,NA,"RICKEY E RUBLE","JANET L RUBLE","729 COURT AVE",NA,"CHARITON","IA","500491827",572,1652,3300,5.77,3900,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Central Illinois","BLOOMINGTON","RETAIL & ADMINISTRATIVE","160792001","1211 TOWANDA AVE","BLOOMINGTON","IL","61701-3476","Dec-98","USPS (Not Roof)","12/1/1998","11/30/2018","A","A","Reimbursable","Y",2,10,"WEST ALLIS WISCONSIN BUILDING","CHICAGO TITLE LAND TRUST","UTA 77750 DTD 7/2/73  C/O RICHARD A","3730 OLD SANTA FE TRL","SANTA FE","NM","875054573",37700,186219,199669.86,5.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Western New York","CHEMUNG","MAIN OFFICE",NA,"733 MAIN ST","CHEMUNG","NY","14825-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,27000,NA,NA,NA,NA,"351455-G01",351455,"CHEMUNG","Active","Owned",1357781,"V12548","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","3/1/1988"," 0/1"
1,"Western New York","COLLINS CENTER","MAIN OFFICE","351770001","3592 MAIN ST","COLLINS CENTER","NY","14035-9800","Aug-62","Landlord","8/1/2012","7/31/2017","B","B","None Specified",NA,2,10,"JAMES J BAKER","9894 ROUTE 240",NA,NA,"WEST VALLEY","NY","141719707",620,2240,4800,7.74,5304,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Central Illinois","SCHAUMBURG","HOFFMAN EST BR",NA,"1255 GANNON DR","HOFFMAN ESTATES","IL","60169-7057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16763,97078,NA,NA,NA,NA,"167065-G02",167064,"DU PAGE","Active","Owned",1434865,"W13347","Post Office","Branch","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","10/1/1988"," 1/6"
0,"Suncoast","ZEPHYRHILLS","TRAILER MAIN POST OFFICE",NA,NA,"ZEPHYRHILLS","FL","33542-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,0,NA,NA,NA,NA,"119810-G03",119810,"PASCO","Active","Owned",NA,NA,NA,NA,"USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No",NA,"0"
1,"Tennessee","GRUETLI-LAAGER","MAIN OFFICE","473744003","29434 STATE ROUTE 108","GRUETLI LAAGER","TN","37339-9998","Mar-85","USPS","3/15/2015","3/14/2020","A","A","Reimbursable",NA,NA,NA,"LAWRENCE M MAGDOVITZ","PO BOX 997",NA,NA,"CLARKSDALE","MS","386140997",1400,32310,13730,9.81,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Appalachian","SPEEDWELL","MAIN OFFICE","518424001","6766 GRAYSON TPKE","SPEEDWELL","VA","24374-9998","Sep-69","Landlord","9/1/2011","8/31/2016","P","P","None Specified","N",NA,NA,"CAROLYN H WOHLFORD","PO BOX D",NA,NA,"SPEEDWELL","VA","243740078",768,4548,8400,10.94,8850,11.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Northern Ohio","YORKVILLE","MAIN OFFICE","389212001","325 PUBLIC RD","YORKVILLE","OH","43971-1252","Sep-52","USPS","9/1/2012","8/31/2017","P","P","None Specified",NA,NA,NA,"DANIEL S DIMMICK","111 WESTGATE DR",NA,NA,"WHEELING","WV","260034957",1350,2559,7500,5.56,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Mid-America","HUME","MAIN OFFICE","283912001","101 MAIN ST","HUME","MO","64752-9998","May-46","Landlord","12/1/2014","11/30/2019","A","A","None Specified",NA,NA,NA,"LEWIS EVERETT SHRUM REVOCABLE TRUST","AND LOIS J SHRUM","116 S GRANT ST",NA,"ERIE","KS","667331325",972,4000,6396,6.58,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohio Valley","PORTLAND","MAIN OFFICE","386797002","30935 HIGH ST","PORTLAND","OH","45770-9800","Sep-78","Landlord","9/1/2014","8/31/2019","P","P","None Specified",NA,1,5,"FRED A. ENGLE, JR.","ANN M. ENGLE","P. O. BOX 60",NA,"PORTLAND","OH","457700060",585,5000,5154.6,8.81,5670.06,9.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Greater Michigan","ROSCOMMON","MAIN OFFICE","258180001","281 LAKE ST","ROSCOMMON","MI","48653-9203","Mar-74","Landlord","2/1/2014","1/31/2019","A","A","Reimbursable",NA,NA,NA,"LOUGHRAY GST TRUST","DATED 01/01/2015","MICHAEL S. LOUGHRAY, TRUSTEE","154 SNOWFLAKE WAY","HOUGHTON LAKE","MI","486299152",1768,12140,18200,10.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Appalachian","PINCH","MAIN OFFICE","556396003","231 N PINCH RD","PINCH","WV","25156-9998","Jun-96","Landlord","6/3/1996","6/2/2016","P","P","Reimbursable","Y",3,15,"KAYSER REAL ESTATE","DEVELOPMENT LP","PO BOX 12197",NA,"CHANDLER","AZ","852480020",2126,17336,31500,14.82,31890,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lakeland","MILWAUKEE","WESTERN STA 65 OEV PKG","565480026","5521 W CENTER ST","MILWAUKEE","WI","53210-2252",NA,"USPS","11/1/2015","10/31/2020","X","Z","Reimbursable",NA,4,20,"MKEPO LLC","C/O SIEGEL-GALLAGHER MGT. CO.","252 E HIGHLAND AVE",NA,"MILWAUKEE","WI","532023131",0,21780,21780,1,22869,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Gateway","CARMI","MAIN OFFICE",NA,"201 S WALNUT ST","CARMI","IL","62821-9997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7474,20880,NA,NA,NA,NA,"161302-G01",161302,"WHITE","Active","Owned",1357062,"W12294","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1938"," 3/8"
1,"Mid-America","OLD APPLETON","MAIN OFFICE SITE","285964004","343 APPLETON MAIN ST","OLD APPLETON","MO","63770-9998","Feb-88","USPS","2/1/2013","1/31/2018","Y","Z","None Specified",NA,NA,NA,"JON SCHNURBUSCH","8498 S HIGHWAY 61",NA,NA,"PERRYVILLE","MO","637756215",0,4010,1440,0.36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Central Pennsylvania","WALNUTPORT","MAIN OFFICE","418840002","301 S BEST AVE","WALNUTPORT","PA","18088-1215","Jul-75","Landlord","7/1/2015","6/30/2020","A","A","Reimbursable",NA,1,4,"MAGDOVITZ AGENCY INC","PO BOX 997",NA,NA,"CLARKSDALE","MS","386140997",2320,12066,30500,13.15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Seattle","TEKOA","MAIN OFFICE","548372001","250 S CROSBY ST","TEKOA","WA","99033-9998","Feb-62","USPS (Not Roof)","2/9/2012","2/8/2017","B","B","Reimbursable",NA,1,5,"E C HAY & SONS INC","PO BOX 1079",NA,NA,"TEKOA","WA","990331079",1948,4800,10200,5.24,11400,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Arizona","PHOENIX","RIO SALADO FACILITY",NA,"1441 E BUCKEYE RD RM 171","PHOENIX","AZ","85034-9109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159764,554419,NA,NA,NA,NA,"036364-G46",36386,"MARICOPA","Active","Owned",1444427,"8826","Administrative Office","Postal Inspection Service Field Division (USPIS)","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","7/1/1965"," 2/7"
1,"Albany","GILBERTSVILLE","MAIN OFFICE","353180001","3 COMMERCIAL ST","GILBERTSVILLE","NY","13776-9998","Jan-55","Landlord","7/1/2014","6/30/2019","A","A","None Specified",NA,NA,NA,"VILLAGE IMPROVEMENT","SOCIETY INC","PO BOX 61",NA,"GILBERTSVILLE","NY","137760061",736,736,6120,8.32,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Alabama","GAINESVILLE","MAIN OFFICE","13350001","9393 STATE ST","GAINESVILLE","AL","35464-2143","Nov-61","USPS (Not Roof)","11/1/2011","10/31/2016","A","A",NA,NA,NA,NA,"ELAINE N WILKES","314 HIGH POINTE RDG",NA,NA,"PRATTVILLE","AL","360663662",650,3527,4200,6.46,4389,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Greater So Carolina","BETHUNE","MAIN OFFICE","450620002","503 KING ST E","BETHUNE","SC","29009-9735","Feb-92","USPS (Not Roof)","2/1/2012","1/31/2017","P","P","None Specified","Y",1,5,"BETHUNE POST OFFICE LLC","C/O NANCY H RAVENEL","17 POULNOT LN",NA,"CHARLESTON","SC","294016912",3500,57775,37500,10.71,40000,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Dakotas","BELCOURT","DETACHED LOCKBOX UNIT","370736005","3 EXPRESS LN","BELCOURT","ND","58316-9997","Jan-99","Landlord","1/1/2014","12/31/2018","A","A","None Specified",NA,1,5,"JOLLIE INVESTMENT LLP","PO BOX 800",NA,NA,"BELCOURT","ND","583160800",1122,1122,6480,5.78,7000,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Tennessee","MILAN","MAIN OFFICE",NA,"1170 S MAIN ST","MILAN","TN","38358-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11509,35314,NA,NA,NA,NA,"475736-G01",475736,"GIBSON","Active","Owned",1373058,"X25509","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","12/1/1936"," 1/3"
1,"Central Plains","WINDOM","MAIN OFFICE","199845001","701 MAIN ST","WINDOM","KS","67491-9362","Nov-60","Landlord","5/1/2014","4/30/2019","P","P","Reimbursable",NA,NA,NA,"KERIN MOTORS INC","PO BOX 997",NA,NA,"CLARKSDALE","MS","386140997",872,1009,6518,7.47,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lakeland","GREEN BAY","DOWNTOWN STATION","563400024","118 N MONROE AVE","GREEN BAY","WI","54301-4902","Feb-91","USPS (Not Roof)","2/1/2016","1/31/2021","A","A","None Specified","N",NA,NA,"THM JOINT VENTURE","C/O OSMS","2223 LIME KILN RD STE 1",NA,"GREEN BAY","WI","543116213",4256,16039,54477,12.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hawkeye","DICKENS","MAIN OFFICE","182466002","201 2ND ST","DICKENS","IA","51333-7917","Jan-79","Landlord","1/1/2014","12/31/2018","P","P",NA,NA,NA,NA,"WILLA R BALDWIN","3926 N COCONINO AVE",NA,NA,"FLORENCE","AZ","852328406",1028,1272,8280,8.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Philadelphia Metropolitan","HOLMES","MAIN OFFICE","413732001","228 HOLMES RD","HOLMES","PA","19043-9998","Aug-66","USPS","8/1/2011","7/31/2016","P","P","Reimbursable",NA,1,5,"DAVID S HOY AND","MAUREEN HOY","4 W THOMSON AVE",NA,"SPRINGFIELD","PA","190642109",1320,4801,14460,10.95,16800,12.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Gulf Atlantic","FORSYTH","MAIN OFFICE",NA,"65 W JOHNSTON ST","FORSYTH","GA","31029-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5584,44867,NA,NA,NA,NA,"123344-G02",123344,"MONROE","Active","Owned",1363735,"X10471","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","5/1/1980"," 1/8"
