"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30"
"11","Northern Ohio","AMSTERDAM","MAIN OFFICE","380196001","116 S MAIN ST","AMSTERDAM","OH","43903-7947","Nov-73","Landlord","11/1/2013","10/31/2018","P","P","None Specified","","","","FIRST INC","PO BOX 997","","","CLARKSDALE","MS","386140997","","1,480","2,312","$11,433.00 ","$7.73 ","$0.00 ","$0.00 "
"12","Northern Ohio","ANDOVER","MAIN OFFICE","380203002","275 E MAIN ST","ANDOVER","OH","44003-9802","May-76","Landlord","5/1/2016","4/30/2021","B","B","None Specified","N","1","5","JIM GHIZZONI","DARLENE GHIZZONI","PO BOX 444","","BROOKFIELD","OH","444030444","","2,658","16,058","$15,948.00 ","$6.00 ","$15,948.00 ","$6.00 "
"13","Northern Ohio","ANTWERP","MAIN OFFICE","380238001","303 S MAIN ST","ANTWERP","OH","45813-9998","Oct-67","USPS (Not Roof)","11/1/2007","10/31/2017","P","P","Reimbursable","","","","VALLEY REALTY CO","PO BOX 997","","","CLARKSDALE","MS","386140997","","2,166","12,078","$17,328.00 ","$8.00 ","$19,927.00 ","$9.20 "
"14","Northern Ohio","APPLE CREEK","MAIN OFFICE","380252004","33 MAPLE ST","APPLE CREEK","OH","44606-9801","Aug-92","USPS","8/1/2012","7/31/2017","P","P","None Specified","","","","HEXAGON INVESTMENTS LLC","4607 CLEVELAND AVE NW","","","CANTON","OH","447091836","","2,576","17,000","$17,400.00 ","$6.75 ","$0.00 ","$0.00 "
"15","Northern Ohio","ARCADIA","MAIN OFFICE","380259001","106 N MAIN ST","ARCADIA","OH","44804-9800","Jan-55","Landlord","2/1/2016","1/31/2021","P","P","None Specified","","1","5","PAUL F DULING","AND/ OR JANET M DULING","6628 ROAD J6","","OTTAWA","OH","458759737","","696","1,196","$7,656.00 ","$11.00 ","$8,038.00 ","$11.55 "
"16","Northern Ohio","ARCHBOLD","MAIN OFFICE","380273001","210 DITTO ST","ARCHBOLD","OH","43502-7700","Nov-69","USPS","12/1/2014","11/30/2019","P","P","Reimbursable","","1","5","J & J COMMERCIAL","PROP CO LTD","PO BOX 302","","ARCHBOLD","OH","435020302","","4,106","12,757","$45,166.00 ","$11.00 ","$45,166.00 ","$11.00 "
"17","Northern Ohio","ARLINGTON","MAIN OFFICE","380280002","120 W LIBERTY ST","ARLINGTON","OH","45814-9998","Apr-76","USPS","4/1/2016","3/31/2021","P","P","Reimbursable","","1","5","LINDA L PRIBULA","5424 DUEBER AVE SW","","","CANTON","OH","447064266","","1,056","15,048","$8,180.00 ","$7.75 ","$8,998.00 ","$8.52 "
"18","Northern Ohio","ASHLAND","MAIN OFFICE","380294001","530 CLAREMONT AVE","ASHLAND","OH","44805-9998","Apr-66","Landlord","5/1/2013","4/30/2018","B","B","None Specified","N","","","POSTAL BLDG & LEASE CO","720 OLIVE ST STE 1630","","","ST LOUIS","MO","631012321","","15,574","45,518","$36,867.00 ","$2.37 ","$0.00 ","$0.00 "
"19","Northern Ohio","ASHTABULA","HARBOR FINANCE STA","380308006","718 LAKE AVE STE 1","ASHTABULA","OH","44004-3229","Oct-59","Landlord","4/1/2012","3/31/2017","P","P","None Specified","","1","5","MARCLARE","3229 STATE RD","","","ASHTABULA","OH","440045332","","585","12,585","$5,580.00 ","$9.54 ","$5,580.00 ","$9.54 "
"20","Northern Ohio","ASHTABULA","MAIN OFFICE","380308001","4307 STATION AVE","ASHTABULA","OH","44004-9998","Nov-62","USPS","11/13/2012","11/12/2017","A","A","Reimbursable","","","","MIMI B LTD PARTNERSHIP","5050 BELMONT AVE","","","YOUNGSTOWN","OH","445051020","","16,000","68,152","$55,800.00 ","$3.49 ","$65,920.00 ","$4.12 "
"21","Northern Ohio","ATTICA","MAIN OFFICE","380343002","7 S MAIN ST","ATTICA","OH","44807-9800","Jul-76","Landlord","7/1/2011","6/30/2016","B","B","None Specified","N","","","ROBERT SCHOEN","HELEN SCHOEN","RR 2","","REPUBLIC","OH","448679802","","1,728","12,347","$19,080.00 ","$11.04 ","$19,652.00 ","$11.37 "
"22","Northern Ohio","ATWATER","MAIN OFFICE","380350002","6713 WATERLOO RD","ATWATER","OH","44201-9998","Feb-99","Landlord","2/3/1999","2/2/2019","P","P","None Specified","N","3","15","HICKOK ASPEN CLUB LLC","4400 SHAWNEE MISSION PKWY  STE 203","","","FAIRWAY","KS","662052518","","3,049","42,000","$42,903.00 ","$14.07 ","$44,834.16 ","$14.70 "
"23","Northern Ohio","AUGUSTA","MAIN OFFICE","380357001","8081 KENSINGTON RD NE","AUGUSTA","OH","44607-9800","Nov-54","Landlord","7/1/2015","6/30/2020","P","P","None Specified","","1","5","DONNA J TUCKER","PO BOX 130","","","AUGUSTA","OH","446070130","","225","225","$3,240.00 ","$14.40 ","$3,300.00 ","$14.67 "
"24","Northern Ohio","AUSTINBURG","MAIN OFFICE","380371001","2773 STATE ROUTE 307","AUSTINBURG","OH","44010-9801","Jan-67","Shared","7/16/2011","7/15/2016","P","P","None Specified","N","","","TIF JEN KEV LLC","PO BOX 24","","","AUSTINBURG","OH","440100024","","1,121","3,791","$9,840.00 ","$8.78 ","$10,200.00 ","$9.10 "
"25","Northern Ohio","AVON","MAIN OFFICE","380392004","36225 DETROIT RD","AVON","OH","44011-2848","","USPS","2/1/2008","1/31/2023","A","A","None Specified","","2","10","CITY OF AVON","36080 CHESTER ROAD","","","AVON","OH","440111070","","6,500","57,151","$130,000.00 ","$20.00 ","$0.00 ","$0.00 "
"26","Northern Ohio","AVON LAKE","MAIN OFFICE","380399002","33501 LAKE RD STE B","AVON LAKE","OH","44012-9998","Jan-84","Landlord","5/1/2014","4/30/2019","B","B","Reimbursable","","1","5","TBP AVON LAKE LLC","P. O. BOX 6","","","AVON LAKE","OH","440120006","","8,364","16,037","$40,000.00 ","$4.78 ","$41,987.00 ","$5.02 "
"27","Northern Ohio","BARTON","MAIN OFFICE LAND","380483003","70659 MAIN ST","BARTON","OH","43905-9800","Jan-96","Landlord","1/1/2016","12/31/2020","Y","P","None Specified","","","","GREGORY P BOROSH","PO BOX 587","","","BARTON","OH","439050587","","0","6,565","$2,160.00 ","$0.33 ","$0.00 ","$0.00 "
"28","Northern Ohio","BASCOM","MAIN OFFICE","380490001","5755 W TIFFIN ST","BASCOM","OH","44809-9800","Jul-69","Landlord","7/1/2015","6/30/2020","P","P","None Specified","","","","WILLIAM J HAMMER","AND OR DIANE M HAMMER","40 INDIAN LANE","","TIFFIN","OH","448833353","","864","8,283","$9,075.00 ","$10.50 ","$0.00 ","$0.00 "
"29","Northern Ohio","BEACH CITY","MAIN OFFICE","380546001","130 E MAIN ST","BEACH CITY","OH","44608-9800","Oct-54","Landlord","8/1/2014","7/31/2019","A","A","","","1","5","ELAINE M AMOS","PO BOX 327","","","BEACH CITY","OH","446080327","","1,184","2,684","$9,472.00 ","$8.00 ","$10,000.00 ","$8.45 "
"30","Northern Ohio","BELLAIRE","MAIN OFFICE","380581001","451 33RD ST","BELLAIRE","OH","43906-9998","Feb-66","USPS","2/1/2016","1/31/2021","B","B","Reimbursable","","1","5","MICHAEL DOYLE","THOMAS STRUSSION","C/O DOYLE & ASSOCIATES","3330 BELMONT ST","BELLAIRE","OH","439061523","","6,916","28,163","$62,244.00 ","$9.00 ","$68,468.00 ","$9.90 "
"31","Northern Ohio","BELLVILLE","MAIN OFFICE","380623001","105 BELL ST","BELLVILLE","OH","44813-9998","Nov-60","USPS","11/14/2013","11/13/2018","P","P","Reimbursable","","1","5","POSTAL BUILDING & LEASING CO","720 OLIVE ST STE 1630","","","ST LOUIS","MO","631012321","","2,730","8,613","$19,754.00 ","$7.24 ","$20,475.00 ","$7.50 "
"32","Northern Ohio","BELOIT","MAIN OFFICE","380644001","13666 S MAIN ST","BELOIT","OH","44609-9998","Nov-55","Landlord","7/1/2011","6/30/2016","P","P","Reimbursable","N","","","HAROLD E ROBERTS AND","MARJORIE ANN ROBERTS TRUST","MARJORIE A ROBERTS TRUSTEEE","6356 ADAMS RD","ROGERS","OH","444559707","","1,155","3,483","$8,448.00 ","$7.31 ","$9,000.00 ","$7.79 "
"33","Northern Ohio","BERGHOLZ","MAIN OFFICE","380686001","254 2ND ST","BERGHOLZ","OH","43908-9800","May-75","Shared","6/20/2012","6/19/2017","P","P","None Specified","N","","","HUNTINGTON NATIONAL BANK","37 W BROAD ST","HP 1097","","COLUMBUS","OH","432154132","","899","1,247","$7,500.00 ","$8.34 ","$0.00 ","$0.00 "
"34","Northern Ohio","BERKEY","MAIN OFFICE","380693002","12353 SYLVANIA METAMORA RD","BERKEY","OH","43504-9998","Sep-81","Landlord","9/1/2013","8/31/2016","P","P","None Specified","","","","LUCKEY FARMERS INC","DBA - BERKEY FARM CENTER","PO BOX 1 DRAWER A","","BERKEY","OH","435040001","","300","300","$6,300.00 ","$21.00 ","$0.00 ","$0.00 "
"35","Northern Ohio","BERLIN","MAIN OFFICE","380700001","5520 OAK ST","BERLIN","OH","44610-9800","Nov-73","USPS","11/28/2013","11/27/2018","P","P","Reimbursable","","","","THREE BEE COMPANY","PO BOX 125","","","BERLIN","OH","446100125","","865","3,445","$12,110.00 ","$14.00 ","$0.00 ","$0.00 "
"36","Northern Ohio","BERLIN HEIGHTS","EXPANSION-PARKING","380714003","2 E MAIN ST","BERLIN HEIGHTS","OH","44814-9998","","Landlord","12/1/2014","11/30/2019","X","A","None Specified","","","","MILAN BERLIN TWP PUBLIC LIBRARY","P O BOX 1550","","","MILAN","OH","448461550","","0","0","$1,025.00 ","$0.00 ","$0.00 ","$0.00 "
"37","Northern Ohio","BERLIN HEIGHTS","MAIN OFFICE","380714002","2 E MAIN ST","BERLIN HEIGHTS","OH","44814-9801","Nov-83","USPS (Not Roof)","12/1/2013","11/30/2018","P","P","Percentage","","","","LAWRENCE M MAGDOVITZ II TRUST","TRUSTEE FOR LAWRENCE M MAGDOVITZ II","PO BOX 997","","CLARKSDALE","MS","386140997","","2,750","3,572","$23,000.00 ","$8.36 ","$0.00 ","$0.00 "
"38","Northern Ohio","BETTSVILLE","MAIN OFFICE","380756002","203 STATE ST","BETTSVILLE","OH","44815-9800","Apr-80","Landlord","5/1/2016","4/30/2021","A","Z","None Specified","","","","BARRY E BURD","D/B/A RJV PROPERTIES OF OHIO LLC","264 E TOWNSHIP RD 152","","TIFFIN","OH","448838727","","779","779","$4,740.00 ","$6.08 ","$0.00 ","$0.00 "
"39","Northern Ohio","BIG PRAIRIE","MAIN OFFICE","380784001","13214 STATE ROUTE 226","BIG PRAIRIE","OH","44611-9998","Oct-64","Landlord","10/1/2013","9/30/2018","P","P","None Specified","","","","THE MONITOR BANK","PO BOX 98","","","BIG PRAIRIE","OH","446110098","","572","1,004","$4,800.00 ","$8.39 ","$0.00 ","$0.00 "
"40","Northern Ohio","BLAKESLEE","MAIN OFFICE","380840002","514 WASHINGTON ST","BLAKESLEE","OH","43505-9998","Dec-83","Landlord","12/1/2013","11/30/2018","P","P","None Specified","","","","LOU ANN STUCKEY","117 LAKESIDE DR","","","QUINCY","MI","490828524","","270","270","$3,500.00 ","$12.96 ","$0.00 ","$0.00 "
"41","Northern Ohio","BLOOMDALE","MAIN OFFICE","380861001","109 S MAIN ST","BLOOMDALE","OH","44817-9800","Nov-54","Landlord","3/1/2014","2/28/2019","B","B","None Specified","","","","RONAN2, LLC","PO BOX 267","","","BLOOMDALE","OH","448170276","","1,198","1,911","$7,920.00 ","$6.61 ","$0.00 ","$0.00 "
"42","Northern Ohio","BLOOMINGDALE","MAIN OFFICE","380875001","111 HIGH ST","BLOOMINGDALE","OH","43910-9800","Nov-64","USPS","8/1/2014","7/31/2019","P","P","Reimbursable","","","","MUETZEL FAMILY REAL ESTATE LLC","PO BOX 710","","","SOMERSET","OH","437830710","","1,422","5,401","$12,798.00 ","$9.00 ","$0.00 ","$0.00 "
"43","Northern Ohio","BLOOMVILLE","MAIN OFFICE","380882001","10 S MARION ST","BLOOMVILLE","OH","44818-9800","Aug-60","USPS","8/15/2014","8/14/2019","A","A","None Specified","","","","DEBORAH D MIROW","GREGORY G MIROW","235 OAK ST","","MARION","OH","433022939","","2,144","5,562","$16,140.00 ","$7.53 ","$0.00 ","$0.00 "
"44","Northern Ohio","BOLIVAR","MAIN OFFICE","380917001","164 CANAL ST S","BOLIVAR","OH","44612-9800","Nov-54","Landlord","6/1/2012","5/31/2017","P","P","None Specified","N","","","CANAAN LAND REALTY LLC","P O BOX 187","","","BOLIVAR","OH","446120187","","1,387","2,137","$7,920.00 ","$5.71 ","$0.00 ","$0.00 "
"45","Northern Ohio","BOWERSTON","MAIN OFFICE","380952001","212 MAIN ST","BOWERSTON","OH","44695-9800","Nov-54","USPS","10/1/2011","9/30/2016","B","B","Reimbursable","N","","","LINDA L PRIBULA","5424 DUEBER AVE SW","","","CANTON","OH","447064266","","1,014","5,000","$8,316.00 ","$8.20 ","$7,620.00 ","$7.51 "
"46","Northern Ohio","BRADNER","MAIN OFFICE","380987001","101 W CROCKER ST","BRADNER","OH","43406-9998","Jun-55","Landlord","2/1/2012","1/31/2017","A","A","None Specified","","1","5","RICK BEEKER","PO BOX 221","","","PEMBERVILLE","OH","434500221","","1,690","3,886","$7,700.00 ","$4.56 ","$8,472.00 ","$5.01 "
"47","Northern Ohio","BREWSTER","MAIN OFFICE","381022001","120 MAIN ST SW","BREWSTER","OH","44613-9998","Oct-62","USPS (Not Roof)","10/1/2012","9/30/2017","P","P","Reimbursable","N","","","CABBAGETOWN APARTMENTS LLC","ATTN WILLIAM O HITT","2107 N DECATUR RD #176","","DECATUR","GA","300335305","","1,950","6,563","$16,575.00 ","$8.50 ","$17,082.00 ","$8.76 "
"48","Northern Ohio","BRILLIANT","MAIN OFFICE","381050001","801 3RD ST","BRILLIANT","OH","43913-9998","Apr-66","USPS","12/1/2013","11/30/2018","P","P","Reimbursable","","","","MUETZEL FAMILY REAL ESTATE LLC","PO BOX 710","","","SOMERSET","OH","437830710","","2,132","7,200","$18,000.00 ","$8.44 ","$0.00 ","$0.00 "
"49","Northern Ohio","BRISTOLVILLE","MAIN OFFICE","381064001","1850 STATE ROUTE 88","BRISTOLVILLE","OH","44402-9800","Jan-60","USPS","11/1/2015","10/31/2020","B","B","Reimbursable","","","","JOSEPH N ABRAHAM JR","4122 HADLEIGH RD","","","UNIVERSITY HEIGHS","OH","441184522","","1,512","8,500","$12,852.00 ","$8.50 ","$0.00 ","$0.00 "
"50","Northern Ohio","BROOKFIELD","MAIN OFFICE","381078002","6875 WARREN SHARON RD","BROOKFIELD","OH","44403-9800","May-82","Landlord","5/1/2012","4/30/2017","A","A","Percentage","","","","JIM GHIZZONI","DARLENE GHIZZONI","PO BOX 444","","BROOKFIELD","OH","444030444","","2,368","7,966","$18,944.00 ","$8.00 ","$0.00 ","$0.00 "
"51","Northern Ohio","BURBANK","MAIN OFFICE","381162001","55 S FRONT ST","BURBANK","OH","44214-9800","Nov-54","Landlord","6/1/2003","","D","D","None Specified","N","","","BURBANK COMMUNITY ACTION","GROUP","122 HENRIETTA ST","PO BOX 3","BURBANK","OH","442140003","","413","4,913","$4,800.00 ","$11.62 ","$0.00 ","$0.00 "
"52","Northern Ohio","BURGOON","MAIN OFFICE","381176001","3189 MAIN ST","BURGOON","OH","43407-9998","Nov-54","Landlord","7/1/2011","6/30/2016","P","P","None Specified","","1","5","WALTER JOHN HAUBERT JR","AND/OR JOYCE M HAUBERT","19947 ASHLAND BROOK CT","","HOUSTON","TX","770845853","","416","1,159","$3,000.00 ","$7.21 ","$3,000.00 ","$7.21 "
"53","Northern Ohio","BURTON","MAIN OFFICE","381190002","14519 N CHESHIRE ST","BURTON","OH","44021-9803","Jan-04","USPS","1/1/2014","12/31/2018","P","P","Reimbursable","","1","5","VINECOURT FAMILY TRUST","JEROME A VINECOURT TRUSTEE","PO BOX 467","","BURTON","OH","440210467","","4,192","28,062","$61,100.00 ","$14.58 ","$70,265.00 ","$16.76 "
"54","Northern Ohio","BUTLER","MAIN OFFICE","381197001","14 W ELM ST","BUTLER","OH","44822-9802","Jun-55","Landlord","5/1/2012","4/30/2017","A","A","","","1","5","JEREMY R GOLDEN","4310 PLEASANT HILL RD","","","PERRYSVILLE","OH","448649670","","1,222","2,956","$6,600.00 ","$5.40 ","$7,260.00 ","$5.94 "
"55","Northern Ohio","CAIRO","MAIN OFFICE","381232001","104 W MAIN ST","CAIRO","OH","45820-9998","Nov-54","USPS","1/1/2012","12/31/2016","P","P","Reimbursable","","1","5","TJST LIMITED LIABILITY","8765 MERICLE RD","","","FT JENNINGS","OH","458449999","","840","840","$4,836.00 ","$5.76 ","$5,400.00 ","$6.43 "
"56","Northern Ohio","CAMERON","MAIN OFFICE","381267002","48126 MAIN ST","CAMERON","OH","43914-9800","Oct-84","Landlord","1/1/2015","12/31/2019","X","A","None Specified","","","","ROGER NETHING","VICKIE NETHING","925 STONE MOUNTAIN CT","","MELBOURNE","FL","329343200","","600","8,712","$1,452.00 ","$2.42 ","$0.00 ","$0.00 "
"57","Northern Ohio","CANAL FULTON","MAIN OFFICE","381302002","210 S CANAL ST","CANAL FULTON","OH","44614-9998","May-86","USPS","10/1/2015","9/30/2020","P","P","Percentage","","1","5","210 CANAL STREET LLC","PO BOX 220","","","DOYLESTOWN","OH","442300220","","5,392","21,142","$48,984.00 ","$9.08 ","$52,903.00 ","$9.81 "
"58","Northern Ohio","CANFIELD","MAIN OFFICE PARKING","381316002","34 N BROAD ST-REAR LOT","CANFIELD","OH","44406-9998","","USPS","7/1/2011","6/30/2016","X","B","None Specified","N","2","10","JPMORGAN CHASE BANK NATIONAL ASSOCIATION","1111 POLARIS PARKWAY, SUITE 1E","MAIL CODE: OH1-0241","","COLUMBUS","OH","432402031","","0","10,100","$2,600.00 ","$0.26 ","$3,380.00 ","$0.33 "
"59","Northern Ohio","CANTON","EAST CANTON BR","381323006","117 NASSAU ST W","EAST CANTON","OH","44730-9998","Sep-56","USPS","9/1/2011","8/31/2016","P","P","Reimbursable","N","","","ERIC STEINMANN","PO BOX 1976","","","WRIGHTWOOD","CA","923971976","","1,911","6,977","$11,484.00 ","$6.01 ","$12,632.00 ","$6.61 "
"60","Northern Ohio","CANTON","NORTH CANTON BRANCH O","381323003","1212 N MAIN ST","NORTH CANTON","OH","44720-9998","Sep-72","Landlord","9/1/2012","8/31/2017","A","A","None Specified","N","2","5","TEN MILE CREEK PARTNERS","123 GROVE AVE, STE 222","","","CEDARHURST","NY","115162302","","9,069","58,370","$39,688.00 ","$4.38 ","$0.00 ","$0.00 "
"61","Northern Ohio","CANTON","NORTH INDUSTRY BR","381323018","4724 CLEVELAND AVE SW","CANTON","OH","44707-9998","Jan-92","USPS","7/1/2012","6/30/2017","P","P","None Specified","","","","CARL R YOHE","REV LIV TRST AND OR","RUBY M YOHE REV LIV TRST","5356 RIDGE AVE SE","CANTON","OH","447071149","","960","1,995","$8,100.00 ","$8.44 ","$0.00 ","$0.00 "
"62","Northern Ohio","CANTON OH","WKDD TOWER","512756338","6901 HAHN RD","LOUISVILLE","OH","44641-9714","","Landlord","11/1/2014","10/31/2019","X","Z","None Specified","N","","","AMERICAN TOWER","ATTN: CONTRACTS","10 PRESIDENTIAL WAY","","WOBURN","MA","18011053","","0","8","$12,378.60 ","$1,547.33 ","$0.00 ","$0.00 "
"63","Northern Ohio","CARROLLTON","MAIN OFFICE","381379001","246 S LISBON ST","CARROLLTON","OH","44615-9998","Sep-60","USPS","9/1/2015","8/31/2020","P","P","None Specified","","1","5","1703 BROOK PARK REALTY CO","C/0 MARIO DE SENSI CPA INC.","10900 RIDGE ROAD","","NORTH ROYALTON","OH","441332921","","4,551","14,441","$40,032.00 ","$8.80 ","$44,035.00 ","$9.68 "
"64","Northern Ohio","CASTALIA","MAIN OFFICE","381407001","105 N WATER ST","CASTALIA","OH","44824-9800","Jul-60","USPS","7/19/2015","7/18/2020","P","P","Reimbursable","","1","5","PAT L SEBASTIANO","TRUST U/A DATED MAY 30, 2006","3390 MAPLE RIDGE DR","","HUBBARD","OH","444258720","","1,836","9,230","$14,688.00 ","$8.00 ","$15,606.00 ","$8.50 "
"65","Northern Ohio","CECIL","MAIN OFFICE","381428001","107 N MAIN ST","CECIL","OH","45821-9998","Nov-54","USPS","6/1/2015","5/31/2020","P","P","None Specified","","","","KAY F LANGHAM TRUST","105 W PERRY ST","","","PAULDING","OH","458791403","","432","432","$4,620.00 ","$10.69 ","$0.00 ","$0.00 "
"66","Northern Ohio","CHAGRIN FALLS","ADJACENT GROUNDS","381470002","160 E WASHINGTON ST","CHAGRIN FALLS","OH","44022-9998","Sep-98","Landlord","9/1/2013","","Q","Z","None Specified","","1","","FRATERNAL ORDER OF EAGLES","AERIE NO 2436","231 S MAIN STREET","","CHARGIN FALLS","OH","440229999","","0","11,271","$1.00 ","$0.00 ","$0.00 ","$0.00 "
"67","Northern Ohio","CHARM","MAIN OFFICE","381491003","4440 STATE ROUTE 557","CHARM","OH","44617-9800","Jul-88","USPS (Not Roof)","7/16/2013","7/15/2018","P","P","None Specified","","","","COMMERCIAL SAVINGS & BANK","91 NORTH CLAY ST","","","MILLERSBURG","OH","446541117","","1,200","12,000","$17,160.00 ","$14.30 ","$0.00 ","$0.00 "
"68","Northern Ohio","CHATFIELD","MAIN OFFICE","381498001","6890 SANDUSKY ST","CHATFIELD","OH","44825-9800","Oct-54","Landlord","8/1/2012","7/31/2017","E","E","None Specified","","","","FREDA E LOYER","P O BOX 128","","","CHATFIELD","OH","448250128","","800","800","$6,600.00 ","$8.25 ","$0.00 ","$0.00 "
"69","Northern Ohio","CHIPPEWA LAKE","MAIN OFFICE","381589001","5825 HEATHERHEDGE DR","CHIPPEWA LAKE","OH","44215-9998","Dec-61","Landlord","12/1/2012","11/30/2017","P","P","Reimbursable","","","","DAVID G PONTING","JAMES L PONTING","2400 ROCKEFELLER RD","","WICKLIFFE","OH","440922051","","960","2,925","$7,620.00 ","$7.94 ","$0.00 ","$0.00 "
"70","Northern Ohio","CLARINGTON","MAIN OFFICE","381617001","506 MARKET ST","CLARINGTON","OH","43915-9800","Feb-67","USPS (Not Roof)","1/1/2007","12/31/2016","P","P","Reimbursable","","","","VALLEY REALTY CO","PO BOX 997","","","CLARKSDALE","MS","386140997","","1,664","9,869","$11,550.00 ","$6.94 ","$12,000.00 ","$7.21 "
"71","Northern Ohio","CLAY CENTER","MAIN OFFICE","381645001","440 MAIN ST","CLAY CENTER","OH","43408-9998","Oct-54","Landlord","10/1/2015","9/30/2020","P","P","None Specified","","","","VILLAGE OF CLAY CENTER","420 MAIN STREET","GENERAL DELIVERY","","CLAY CENTER","OH","434089999","","600","624","$5,196.00 ","$8.66 ","$0.00 ","$0.00 "
"72","Northern Ohio","CLEVELAND","AMC GROUND LEASE II","381671144","HOPKINS INTERNTL AIRPRT","CLEVELAND","OH","44181-9998","","USPS","7/1/2014","6/30/2019","X","P","None Specified","N","","","TREASURER OF THE CITY OF CLEVELAND","DEPARTMENT OF PORT CONTROL","P O BOX 81009","","CLEVELAND","OH","441810009","","0","430,872","$215,351.00 ","$0.50 ","$1.00 ","$0.00 "
"73","Northern Ohio","CLEVELAND","BEACHLAND STA","381666029","891 E 185TH ST","CLEVELAND","OH","44119-9998","Aug-60","USPS (Not Roof)","9/1/2015","8/31/2020","P","P","Reimbursable","N","","","RYBKA REALTY INC","5085 TURNEY RD","","","CLEVELAND","OH","441252601","","4,644","15,802","$50,000.00 ","$10.77 ","$0.00 ","$0.00 "
"74","Northern Ohio","CLEVELAND","BEACHWOOD ADDL PKG","381666139","23215 Commerce Park Dr","CLEVELAND","OH","44122-9998","","Landlord","5/1/2014","4/30/2019","X","A","None Specified","N","","","PARK CENTER INVESTMENT CO I","AND OR EMMCO PROPERTIES INC","3681 GREEN ROAD STE 201","","BEACHWOOD","OH","441225716","","0","12,000","$17,500.00 ","$1.46 ","$0.00 ","$0.00 "
