"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30"
"11","Mississippi","ARTESIA","MAIN OFFICE","270208002","11 S FRONT ST","ARTESIA","MS","39736-9998","May-86","USPS","5/1/2016","4/30/2021","B","B","Reimbursable","","1","5","BAY BREEZE LLC","POST OFFICE BOX 8782","","","PORTLAND","OR","972078782","","930","31,482","$13,000.00 ","$13.98 ","$13,900.00 ","$14.95 "
"12","Mississippi","ASHLAND","MAIN OFFICE","270221002","16010 BOUNDARY DR","ASHLAND","MS","38603-9998","Dec-90","USPS (Not Roof)","12/1/2015","11/30/2020","A","A","None Specified","N","","","FDI POSTAL PROPERTIES II INC","PO BOX 659","","","MOUNT AIRY","MD","217710659","","1,832","40,272","$16,800.00 ","$9.17 ","$0.00 ","$0.00 "
"13","Mississippi","AVON","MAIN OFFICE","270279002","50 AVON RD N","AVON","MS","38723-9998","Sep-87","USPS (Not Roof)","9/1/2012","8/31/2017","A","A","None Specified","N","","","FDI POSTAL PROPERTIES II INC","PO BOX 659","","","MOUNT AIRY","MD","217710659","","930","32,000","$10,800.00 ","$11.61 ","$0.00 ","$0.00 "
"14","Mississippi","BAILEY","MAIN OFFICE","270286001","9032 HIGHWAY 493","BAILEY","MS","39320-9998","Aug-74","Landlord","8/1/2014","7/31/2019","B","B","Reimbursable","","","","BRIAR POINT TIMBER CO LLC","12071 HAND RD","","","COLLINSVILLE","MS","393259724","","1,036","23,095","$6,734.00 ","$6.50 ","$0.00 ","$0.00 "
"15","Mississippi","BALDWYN","MAIN OFFICE","270312001","205 W MAIN ST","BALDWYN","MS","38824-9998","Feb-64","Landlord","2/27/2014","2/26/2019","P","P","Reimbursable","","","","BALDWYN PROPERTY LLC","910 ROCKY FOREST COVE NORTH","","","CORDOVA","TN","380186543","","2,695","11,344","$29,645.00 ","$11.00 ","$0.00 ","$0.00 "
"16","Mississippi","BASSFIELD","MAIN OFFICE","270416002","100 HAWKINS AVE","BASSFIELD","MS","39421-9998","Oct-92","USPS (Not Roof)","10/16/2012","10/15/2017","A","A","Reimbursable","Y","1","5","ROBERT D BURROUGHS","PO BOX 4451","","","LAUREL","MS","394414451","","2,761","32,014","$23,144.10 ","$8.38 ","$22,470.00 ","$8.14 "
"17","Mississippi","BATESVILLE","MAIN OFFICE","270429001","375 LAKEWOOD DR","BATESVILLE","MS","38606-9998","Mar-98","USPS (Not Roof)","3/17/1998","3/16/2018","P","P","None Specified","Y","","","CITY OF BATESVILLE","POB 689","","","BATESVILLE","MS","386060689","","12,316","152,460","$207,987.00 ","$16.89 ","$0.00 ","$0.00 "
"18","Mississippi","BATESVILLE","WBLE BROADCASTING","512756286","HWY 5 & 6","BATESVILLE","MS","38606-3000","","Landlord","9/1/2011","8/31/2016","X","Z","None Specified","","","","PINNACLE TOWERS","VIA CROWN CASTLE","2000 CORPORATE DR","","CANONSBURG","PA","153178564","","0","24","$9,079.92 ","$378.33 ","$0.00 ","$0.00 "
"19","Mississippi","BAY SPRINGS","MAIN OFFICE","270468002","14 N THIRD ST","BAY SPRINGS","MS","39422-9998","Jun-64","Landlord","5/30/2011","5/31/2016","A","A","None Specified","","1","5","JOHN R NICHOLSON TRUST","% BENNY D HURLEY CO-TRUSTEE","669 NORTH AVE","","WINDER","GA","306801557","","3,990","47,916","$25,000.00 ","$6.27 ","$27,500.00 ","$6.89 "
"20","Mississippi","BAY ST LOUIS","DIAMONDHEAD BR","270455003","4402 E ALOHA DR STE 5","DIAMONDHEAD","MS","39525-9998","Jan-05","USPS","4/1/2012","3/31/2017","P","A","","","","","TRIPLE DIAMONDS LLC","C/O RETAIL SPECIALISTS INC","PO BOX 531247","","BIRMINGHAM","AL","352531247","","1,600","42,000","$22,400.00 ","$14.00 ","$22,400.00 ","$14.00 "
"21","Mississippi","BEAUMONT","MAIN OFFICE","270481003","825 HIGHWAY 198","BEAUMONT","MS","39423-9998","Oct-98","USPS (Not Roof)","10/21/1998","10/20/2018","P","P","Reimbursable","Y","2","10","ROY HALL","& BEA HALL","19855 COUNTY RD 1570","","ADA","OK","748201346","","3,032","55,479","$37,000.00 ","$12.20 ","$44,000.00 ","$14.51 "
"22","Mississippi","BECKER","MAIN OFFICE","270507002","52188 HIGHWAY 25 S","BECKER","MS","38825-9998","Apr-91","USPS (Not Roof)","4/1/2016","3/31/2021","A","A","Reimbursable","Y","","","FDI POSTAL PROPERTIES I INC","PO BOX 659","","","MOUNT AIRY","MD","217710659","","930","47,200","$11,100.00 ","$11.94 ","$0.00 ","$0.00 "
"23","Mississippi","BELDEN","MAIN OFFICE","270520002","3871 MCCULLOUGH BLVD","BELDEN","MS","38826-9998","Jun-75","Landlord","7/1/2015","6/30/2020","B","B","Reimbursable","","","","MICHAEL E SULLIVAN","32 WINTERGREEN RD","","","MADISON","MS","391109614","","1,300","15,246","$10,200.00 ","$7.85 ","$0.00 ","$0.00 "
"24","Mississippi","BELLEFONTAINE","MAIN OFFICE","270546001","1 HIGHWAY 9","BELLEFONTAINE","MS","39737-9998","Nov-58","Landlord","8/1/2012","7/31/2017","P","P","Reimbursable","","","","VALLEY REALTY CO","PO BOX 997","","","CLARKSDALE","MS","386140997","","567","699","$3,969.00 ","$7.00 ","$4,366.00 ","$7.70 "
"25","Mississippi","BENOIT","MAIN OFFICE","270598001","105 PRESTON ST","BENOIT","MS","38725-9998","May-61","USPS (Not Roof)","5/4/2012","5/31/2017","P","P","Reimbursable","","","","HARRIMACK, LLC","8342 MACON RD","","","CORDOVA","TN","380188554","","990","7,200","$7,227.00 ","$7.30 ","$8,415.00 ","$8.50 "
"26","Mississippi","BENTON","MAIN OFFICE","270611001","1224 OLD HIGHWAY 16","BENTON","MS","39039-9998","Dec-60","Landlord","12/1/2015","11/30/2020","P","P","None Specified","","","","VALLEY REALTY CO","PO BOX 997","","","CLARKSDALE","MS","386140997","","1,008","6,800","$6,900.00 ","$6.85 ","$0.00 ","$0.00 "
"27","Mississippi","BEULAH","MAIN OFFICE","270650002","220 N CLARK ST","BEULAH","MS","38726-9998","Nov-80","USPS (Not Roof)","11/1/2015","10/31/2020","B","B","Reimbursable","","","","ROBERT M HILL","PO BOX 385","","","PERRYVILLE","AR","721260385","","503","10,200","$6,180.00 ","$12.29 ","$0.00 ","$0.00 "
"28","Mississippi","BLUE MOUNTAIN","MAIN OFFICE","270754002","120 N GUYTON BLVD","BLUE MOUNTAIN","MS","38610-9998","Oct-91","USPS (Not Roof)","10/1/2011","9/30/2016","A","A","Reimbursable","Y","1","5","MARGARET FACELLI FIZER","REVOCABLE LIVING TRUST, MARGARET FA","FIZER AND EMERSON R FIZER AS TRUSTE","6123 LILLIAN ST SE","SALEM","OR","973069863","","2,343","43,560","$24,203.28 ","$10.33 ","$26,142.00 ","$11.16 "
"29","Mississippi","BLUE SPRINGS","MAIN OFFICE","270767002","1146 HIGHWAY 9 S","BLUE SPRINGS","MS","38828-9998","Apr-00","USPS (Not Roof)","4/20/2000","4/19/2020","P","P","Reimbursable","Y","2","10","INVESTMENTS REALTY LLC","PO BOX 68","","","CLARKTON","MO","638370068","","3,032","87,120","$42,500.00 ","$14.02 ","$45,500.00 ","$15.01 "
"30","Mississippi","BOGUE CHITTO","MAIN OFFICE","270793002","409 MONTICELLO ST","BOGUE CHITTO","MS","39629-9998","May-88","USPS (Not Roof)","5/1/2013","4/30/2018","A","A","None Specified","N","","","THREE W PARTNERSHIP","PO BOX 721","","","CROSSETT","AR","716350721","","3,210","43,119","$32,860.00 ","$10.24 ","$0.00 ","$0.00 "
"31","Mississippi","BOLTON","MAIN OFFICE","270806002","300 W MADISON ST","BOLTON","MS","39041-9998","Aug-75","Landlord","8/1/2015","7/31/2020","B","B","Reimbursable","","1","5","JAMES REEVES CONTRACTOR INC","3341 GATTI PL","","","GAUTIER","MS","395535703","","1,856","17,250","$15,900.00 ","$8.57 ","$15,900.00 ","$8.57 "
"32","Mississippi","BOYLE","MAIN OFFICE","270884002","123 T M JONES HWY","BOYLE","MS","38730-9998","Nov-88","USPS (Not Roof)","11/1/2013","10/31/2018","A","A","None Specified","N","","","JACK AND CAROL FRANK","SURVIVORS TRUST","33 ROCKINGHAM DR","","NEWPORT BEACH","CA","926604225","","1,832","37,650","$20,400.00 ","$11.14 ","$0.00 ","$0.00 "
"33","Mississippi","BRANDON","RESERVOIR BRANCH","270897004","610 GRANTS FERRY RD","BRANDON","MS","39047-9998","Aug-98","USPS (Not Roof)","8/1/2013","7/31/2018","P","P","None Specified","N","","","GRANT'S FERRY SHOPPING CENTER LLC","308 E PEARL ST STE 200","","","JACKSON","MS","392013420","","14,812","282,053","$144,120.00 ","$9.73 ","$0.00 ","$0.00 "
"34","Mississippi","BRAXTON","MAIN OFFICE","270910002","120 W MAIN ST","BRAXTON","MS","39044-9998","Sep-90","USPS (Not Roof)","9/1/2015","8/31/2020","A","A","None Specified","N","","","TOWN OF BRAXTON","PO BOX 27","","","BRAXTON","MS","390440027","","1,832","26,400","$10,992.00 ","$6.00 ","$0.00 ","$0.00 "
"35","Mississippi","BROOKHAVEN","WEST STATION/LINCOLN PL","270923003","407 BROOKHAVEN ST","BROOKHAVEN","MS","39601-9996","Jun-96","Landlord","6/1/1996","5/31/2016","P","P","None Specified","Y","2","10","KWOK C CHAN","HEIDI W CHAN","6801 W COURTYARD DR","","AUSTIN","TX","787305015","","6,387","72,000","$64,228.00 ","$10.06 ","$83,360.00 ","$13.05 "
"36","Mississippi","BROOKLYN","MAIN OFFICE","270936002","132 MAIN AVE","BROOKLYN","MS","39425-9998","Jul-89","USPS (Not Roof)","7/1/2014","6/30/2019","A","A","None Specified","N","","","POSTAL ASSETS LLC","4527 E 91ST ST","","","TULSA","OK","741372810","","1,375","40,079","$13,728.00 ","$9.98 ","$0.00 ","$0.00 "
"37","Mississippi","BROOKSVILLE","MAIN OFFICE","270949001","150 DEPOT ST","BROOKSVILLE","MS","39739-9998","Nov-71","Landlord","11/1/2011","10/31/2016","B","B","Reimbursable","","","","J & M POSTAL SERVICES LLC","1706 WASHINGTON AVE","","","PASCAGOULA","MS","395677320","","1,728","14,325","$10,440.00 ","$6.04 ","$12,700.00 ","$7.35 "
"38","Mississippi","BRUCE","MAIN OFFICE","270975002","309 N NEWBERGER AVE","BRUCE","MS","38915-9998","Dec-77","USPS (Not Roof)","12/1/2012","11/30/2017","B","B","None Specified","N","","","HANS DITTMANN DISCLAIMER TRUST","DATED 6/24/2011","EMMELY DITTMANN TRUSTEE","959 LONGRIDGE RD","OAKLAND","CA","946102444","","2,320","21,053","$11,832.00 ","$5.10 ","$18,955.00 ","$8.17 "
"39","Mississippi","BUDE","MAIN OFFICE","271014001","106 MAIN ST N","BUDE","MS","39630-9998","Jun-62","Landlord","9/1/2014","8/31/2019","E","E","None Specified","","","","WINGS LLC","PO BOX 68","","","BUDE","MS","396300068","","1,000","5,000","$6,900.00 ","$6.90 ","$0.00 ","$0.00 "
"40","Mississippi","BURNSVILLE","MAIN OFFICE","271079002","318 HIGHWAY 72","BURNSVILLE","MS","38833-9998","Aug-80","Landlord","8/1/2015","7/31/2020","A","A","None Specified","N","","","DR CHARLOTTE HARRER-","SECK ET AL","C/O WOLFGANG WIRTH","LINDENSCHMITSTRASSE 23","WEST GERMANY","FC","","","2,320","20,038","$32,000.00 ","$13.79 ","$0.00 ","$0.00 "
"41","Mississippi","BYHALIA","MAIN OFFICE","271092002","8140 HIGHWAY 178","BYHALIA","MS","38611-9998","May-76","Landlord","5/1/2016","4/30/2021","B","B","Reimbursable","","","","GENEVA INTERNATIONAL LLC","PO BOX 627","","","CLARKSDALE","MS","386140627","","3,360","32,931","$34,500.00 ","$10.27 ","$0.00 ","$0.00 "
"42","Mississippi","CALEDONIA","MAIN OFFICE","271105002","650 MAIN ST","CALEDONIA","MS","39740-9998","Apr-90","USPS (Not Roof)","4/1/2015","3/31/2020","A","A","None Specified","N","","","FDI POSTAL PROPERTIES I INC","PO BOX 659","","","MOUNT AIRY","MD","217710659","","3,210","26,500","$28,750.00 ","$8.96 ","$0.00 ","$0.00 "
"43","Mississippi","CALHOUN CITY","MAIN OFFICE","271118001","205 N MAIN ST","CALHOUN CITY","MS","38916-9998","Jul-61","USPS (Not Roof)","7/18/2011","7/17/2016","A","A","Reimbursable","N","","","DOBBS P O PROPERTIES LLC","C/O DR JIM DOBBS","P O BOX 1110","","CALHOUN CITY","MS","389161110","","2,829","14,400","$21,783.00 ","$7.70 ","$24,500.00 ","$8.66 "
"44","Mississippi","CAMDEN","MAIN OFFICE","271144001","2124 HIGHWAY 17","CAMDEN","MS","39045-9998","May-30","Landlord","7/1/2003","","E","E","None Specified","N","","","JOHN A B JONES LODGE NO 529","ATTN GORDIN M LEHNER","PO BOX 231","","CAMDEN","MS","390450231","","1,500","2,625","$5,400.00 ","$3.60 ","$0.00 ","$0.00 "
"45","Mississippi","CARRIERE","MAIN OFFICE","271248002","7390 HIGHWAY 11","CARRIERE","MS","39426-9998","Jan-76","Landlord","1/1/2016","12/31/2020","B","B","Reimbursable","","1","5","VALLEY REALTY CO","PO BOX 997","","","CLARKSDALE","MS","386140997","","1,856","16,117","$19,117.00 ","$10.30 ","$20,416.00 ","$11.00 "
"46","Mississippi","CARROLLTON","MAIN OFFICE","271261002","104 W JACKSON ST","CARROLLTON","MS","38917-9998","Sep-86","USPS (Not Roof)","9/1/2011","8/31/2016","A","A","None Specified","N","2","10","JOHNSON REAL ESTATE LP","PO BOX 303","","","LELAND","MS","387560303","","2,343","19,360","$30,459.00 ","$13.00 ","$26,000.00 ","$11.10 "
"47","Mississippi","CARSON","MAIN OFFICE","271274003","4963 HIGHWAY 42","CARSON","MS","39427-9998","Jul-91","USPS (Not Roof)","5/1/2016","4/30/2021","A","A","Reimbursable","Y","","","LGK FAMILY LIMITED PARTNERSHIP","11127 COUNTY ROAD 174","","","BULLARD","TX","757578713","","930","17,250","$8,000.00 ","$8.60 ","$0.00 ","$0.00 "
"48","Mississippi","CARTHAGE","MAIN OFFICE PARKING","271300001","NORTH PEARL STREET","CARTHAGE","MS","39051-9998","","Landlord","10/1/2011","9/30/2016","X","A","None Specified","","","","HOWELL & HOWELL CONSTR LLC","128 W FRANKLIN ST","","","CARTHAGE","MS","390513700","","0","2,088","$1,320.00 ","$0.63 ","$1,600.00 ","$0.77 "
"49","Mississippi","CARY","MAIN OFFICE","271313001","95 DOGWOOD ST","CARY","MS","39054-9998","Jun-75","Landlord","6/1/2015","5/31/2020","B","B","Reimbursable","","1","5","THE POWERS COMPANY OF CARY MS INC","ATTN HOWARD D COLE","3304 MADISON AVE","","GREENSBORO","NC","274031427","","840","12,763","$6,846.00 ","$8.15 ","$7,254.00 ","$8.64 "
"50","Mississippi","CASCILLA","MAIN OFFICE","271326001","617 WHITTEN RD","CASCILLA","MS","38920-9998","May-77","Landlord","5/1/2012","4/30/2017","B","B","None Specified","N","","","MER-CAR CORP","1410 S CLINTON ST","","","CHICAGO","IL","606075102","","1,067","12,500","$9,850.00 ","$9.23 ","$9,850.00 ","$9.23 "
"51","Mississippi","CEDAR BLUFF","MAIN OFFICE","271339001","13560 HIGHWAY 50 W","CEDARBLUFF","MS","39741-9998","Dec-74","Landlord","12/1/2014","11/30/2019","B","B","Reimbursable","","","","SUE M. WILLIAMS","PO BOX 66","","","CEDAR BLUFF","MS","397410066","","840","12,500","$7,140.00 ","$8.50 ","$0.00 ","$0.00 "
"52","Mississippi","CENTREVILLE","MAIN OFFICE","271365002","310 E MAIN ST","CENTREVILLE","MS","39631-9998","Aug-87","USPS (Not Roof)","8/1/2012","7/31/2017","A","A","None Specified","N","","","LUCILLE H MC NABB","PO BOX 849","","","CENTREVILLE","MS","396310849","","3,210","46,000","$33,216.00 ","$10.35 ","$33,216.00 ","$10.35 "
"53","Mississippi","CHUNKY","MAIN OFFICE","271456001","23926 HIGHWAY 80","CHUNKY","MS","39323-9998","Dec-61","Landlord","4/1/2016","3/31/2021","P","P","","","1","5","VALLEY REALTY CO","P O BOX 997","","","CLARKSDALE","MS","386140997","","650","12,000","$5,590.00 ","$8.60 ","$6,037.00 ","$9.29 "
"54","Mississippi","CLARA","MAIN OFFICE","271482001","21 CLARA SCHOOL RD","CLARA","MS","39324-9998","Mar-83","USPS (Not Roof)","3/1/2013","2/28/2018","A","A","None Specified","N","1","5","JAMES REEVES CONTRACTOR INC","3341 GATTI PL","","","GAUTIER","MS","395535703","","874","16,338","$7,440.00 ","$8.51 ","$19,554.00 ","$22.37 "
"55","Mississippi","CLARKSDALE","ADDITIONAL PARKING","271495002","SHARKEY STREET","CLARKSDALE","MS","38614-9998","","USPS","7/1/2011","6/30/2016","X","P","None Specified","","1","5","H BENARD NOWELL JR","IRREVOCABLE TRUST","PO BOX 885","","LOUISVILLE","MS","393390885","","0","7,500","$3,500.00 ","$0.47 ","$3,700.00 ","$0.49 "
"56","Mississippi","CLARKSDALE","MAIN OFFICE","271495003","236 SHARKEY AVE RM 100","CLARKSDALE","MS","38614-9998","Apr-01","Landlord","4/1/2016","3/31/2021","A","A","None Specified","","1","5","COAHOMA COUNTY BOARD","OF SUPERVISORS","PO BOX 579","","CLARKSDALE","MS","386140579","","12,884","18,755","$183,597.00 ","$14.25 ","$192,745.00 ","$14.96 "
"57","Mississippi","CLINTON","MAIN OFFICE","271560001","100 E LAWSON ST","CLINTON","MS","39056-9998","Feb-72","Landlord","2/1/2012","1/31/2017","B","B","Reimbursable","","","","MC DANIEL INVESTMENTS INC","PO BOX 730","","","JONESBORO","AR","724030730","","8,532","32,212","$30,000.00 ","$3.52 ","$32,500.00 ","$3.81 "
"58","Mississippi","CLINTON","MAIN OFFICE PKG","271560003","ADJACENT TO MAIN OFFICE","CLINTON","MS","39056-9998","","USPS","7/1/2011","6/30/2016","X","D","None Specified","","1","5","MONROE BELMONT LLC","PO BOX 318","","","CLINTON","MS","390600318","","0","3,267","$3,400.00 ","$1.04 ","$3,500.00 ","$1.07 "
"59","Mississippi","COAHOMA","MAIN OFFICE","271573001","100 W WALNUT ST","COAHOMA","MS","38617-9998","Sep-49","Landlord","7/1/2014","6/30/2019","P","P","Reimbursable","","","","MAGDOVITZ AGENCY INC","PO BOX 997","","","CLARKSDALE","MS","386140997","","783","861","$8,280.00 ","$10.57 ","$0.00 ","$0.00 "
"60","Mississippi","COFFEEVILLE","MAIN OFFICE","271599001","47 OAK ST","COFFEEVILLE","MS","38922-9998","Jul-61","USPS","8/1/2011","7/31/2016","A","A","Reimbursable","N","","","PATRICIA PEEPLES","COVINGTON","PO BOX 177","","COFFEEVILLE","MS","389220177","","2,282","18,442","$11,177.00 ","$4.90 ","$19,397.00 ","$8.50 "
"61","Mississippi","COILA","MO MODULAR (LAND)","271612004","1 HIGHWAY 17 S","COILA","MS","38923-9998","May-94","Landlord","5/1/2014","4/30/2019","Q","P","None Specified","","1","5","BETTY SMITH","198 LORMAN LN","","","MADISON","MS","391107112","","0","40,000","$2,160.00 ","$0.05 ","$2,300.00 ","$0.06 "
"62","Mississippi","COLLINS","MAIN OFFICE","271651002","304 S DOGWOOD AVE","COLLINS","MS","39428-9998","Jun-83","USPS (Not Roof)","6/15/2013","6/14/2018","A","A","None Specified","N","1","5","PETER ARIZCUREN TRUST","JOHN JACK ARIZCUREN TRUSTEE","250 CHERRY LANE STE 210","","MANTECA","CA","953374398","","4,440","25,047","$51,504.00 ","$11.60 ","$58,704.00 ","$13.22 "
"63","Mississippi","COLLINSVILLE","MAIN OFFICE","271664004","9061 COLLINSVILLE RD","COLLINSVILLE","MS","39325-9998","Aug-00","USPS (Not Roof)","8/17/2000","8/16/2020","P","P","Reimbursable","N","2","10","B.W. PROPERTIES LLC","C/O ANDREW BROWN","190 WILLIAMS AND BROAD DR","","BROWNSBORO","AL","357419312","","4,000","48,916","$51,996.00 ","$13.00 ","$66,000.00 ","$16.50 "
"64","Mississippi","COLUMBUS","FAIRLANE STATION","271690004","235 ALABAMA ST","COLUMBUS","MS","39702-9998","May-81","USPS (Not Roof)","5/1/2016","4/30/2021","B","B","Percentage","","","","TOWNSEND & SONS INC","1802 MILITARY RD","","","COLUMBUS","MS","397013634","","2,030","4,530","$20,100.00 ","$9.90 ","$0.00 ","$0.00 "
"65","Mississippi","COMO","MAIN OFFICE","271703005","209 N MAIN ST","COMO","MS","38619-9998","May-06","USPS (Not Roof)","5/24/2006","5/23/2016","P","P","Reimbursable","","2","10","COMO RENTAL PROPERTIES LLC","PO BOX 340","","","COMO","MS","386190340","","2,804","10,400","$33,648.00 ","$12.00 ","$39,256.00 ","$14.00 "
"66","Mississippi","CONEHATTA","MAIN OFFICE","271716001","8396 HIGHWAY 489","CONEHATTA","MS","39057-9998","Dec-64","Landlord","12/1/2014","11/30/2019","P","P","None Specified","","","","TIMOTHY A CRENSHAW","7570 FOX HUNT DR E","","","OLIVE BRANCH","MS","386544142","","800","4,292","$5,800.00 ","$7.25 ","$0.00 ","$0.00 "
"67","Mississippi","COURTLAND","MAIN OFFICE (LAND)","271781003","252 OLD HIGHWAY 51","COURTLAND","MS","38620-9998","","USPS","1/1/2016","12/31/2020","Q","Z","","","","","BETH ANN MAGDOVITZ TRUST","LAWRENCE M MAGDOVITZ TRUSTEE","PO BOX 997","","CLAKSDALE","MS","386140997","","0","22,400","$3,450.00 ","$0.15 ","$0.00 ","$0.00 "
"68","Mississippi","CRAWFORD","MAIN OFFICE","271807001","290 MAIN ST","CRAWFORD","MS","39743-9998","May-62","Landlord","6/1/2012","5/31/2017","P","P","Reimbursable","","","","HARRIMACK, LLC","8342 MACON RD","","","CORDOVA","TN","380188554","","800","3,812","$6,200.00 ","$7.75 ","$6,820.00 ","$8.53 "
"69","Mississippi","CRENSHAW","MAIN OFFICE","271820001","609 BROAD ST","CRENSHAW","MS","38621-9998","Apr-61","USPS (Not Roof)","5/1/2013","4/30/2018","A","A","Reimbursable","","1","5","LOOXAHOMA LLC","PO BOX 867","","","NEW ALBANY","MS","386520867","","1,064","6,600","$6,742.00 ","$6.34 ","$7,080.00 ","$6.65 "
"70","Mississippi","CROSBY","MAIN OFFICE","271833001","136 W PINE ST","CROSBY","MS","39633-9998","Mar-53","Landlord","3/1/2015","2/29/2020","P","P","None Specified","","1","5","PATSY L LONGMIRE","PO BOX 398","","","CROSBY","MS","396330398","","850","935","$9,600.00 ","$11.29 ","$10,800.00 ","$12.71 "
"71","Mississippi","CROWDER","MAIN OFFICE (LAND)","271846002","131A 3RD ST","CROWDER","MS","38622-9998","","USPS","10/1/2015","9/30/2020","Q","Z","None Specified","","","","GERALD LITTLE AND","ARLENE LITTLE","PO BOX 555","","SENATOBIA","MS","386680555","","0","13,130","$2,250.00 ","$0.17 ","$0.00 ","$0.00 "
"72","Mississippi","CRUGER","MAIN OFFICE","271859002","283 RAILROAD ST","CRUGER","MS","38924-9998","Jan-76","USPS","1/1/2016","12/31/2020","B","B","Reimbursable","","1","5","LAWRENCE M MAGDOVITZ","PO BOX 997","","","CLARKSDALE","MS","386140997","","874","12,500","$7,931.00 ","$9.07 ","$8,800.00 ","$10.07 "
"73","Mississippi","D LO","MAIN OFFICE","272106002","2135 SIMPSON HIGHWAY 149","D LO","MS","39062-9998","Feb-76","USPS","2/1/2016","1/31/2021","B","B","Reimbursable","","1","5","LAWRENCE M MAGDOVITZ","8342 MACON ROAD","","","CORDOVA","TN","380188554","","874","12,500","$8,102.00 ","$9.27 ","$8,912.00 ","$10.20 "
"74","Mississippi","DALEVILLE","MAIN OFFICE","271911001","11039 HIGHWAY 39 N","DALEVILLE","MS","39326-9998","Jun-75","Landlord","11/1/2014","10/31/2019","D","D","Reimbursable","","","","LISA M HOLLAND","244 KEMPDALE RD","","","DALEVILLE","MS","393269624","","787","4,500","$5,550.00 ","$7.05 ","$0.00 ","$0.00 "
"75","Mississippi","DARLING","MAIN OFFICE","271924002","580 DARLING RD","DARLING","MS","38623-9998","Apr-79","Landlord","4/1/2014","3/31/2019","A","A","None Specified","","1","5","MADDOX INVESTMENTS LLC","PO BOX 68","","","CLARKTON","MO","638370068","","1,067","28,000","$7,495.00 ","$7.02 ","$7,870.00 ","$7.38 "
